county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
Rockingham County,51165,Virginia,81948,63,"Rockingham, VA - Harrisonburg City, VA",165835,5.2,7.8,297.75,Medium,2022-09-01
Scott County,51169,Virginia,21566,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,7.7,22.8,486.88,High,2022-09-01
Southampton County,51175,Virginia,17631,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,3.3,5.9,141.80,Low,2022-09-01
Stafford County,51179,Virginia,152882,135,"Stafford, VA - Spotsylvania, VA",375694,7.7,9.8,255.75,Medium,2022-09-01
Warren County,51187,Virginia,40164,25,"Berkeley, WV - Frederick, VA",433166,8.4,14.3,393.39,High,2022-09-01
Westmoreland County,51193,Virginia,18015,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,177.63,Medium,2022-09-01
Wythe County,51197,Virginia,28684,70,"Montgomery, VA - Pulaski, VA",196215,7.2,12.2,453.21,High,2022-09-01
Chesapeake City,51550,Virginia,244835,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,3.3,5.9,107.01,Low,2022-09-01
Danville City,51590,Virginia,40044,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,7.5,7.4,521.93,Medium,2022-09-01
Fredericksburg City,51630,Virginia,29036,135,"Stafford, VA - Spotsylvania, VA",375694,7.7,9.8,182.53,Low,2022-09-01
Lexington City,51678,Virginia,7446,97,"Augusta, VA - Staunton City, VA",161807,5.3,14.8,174.59,Medium,2022-09-01
Martinsville City,51690,Virginia,12554,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,7.5,7.4,350.49,Medium,2022-09-01
Accomack County,51001,Virginia,32316,137,"Accomack, VA - Northampton, VA",44026,6.5,2.3,176.38,Low,2022-09-01
Bland County,51021,Virginia,6280,39,"Mercer, WV - Tazewell, VA",144261,7.8,25.0,414.01,High,2022-09-01
Buckingham County,51029,Virginia,17148,99,"Albemarle, VA - Charlottesville City, VA",383641,4.0,13.0,157.45,Medium,2022-09-01
Carroll County,51035,Virginia,29791,73,"Carroll, VA - Grayson, VA",62825,3.5,14.3,711.62,High,2022-09-01
Charlotte County,51037,Virginia,11880,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,303.03,High,2022-09-01
Chesterfield County,51041,Virginia,352802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,191.04,Medium,2022-09-01
Clarke County,51043,Virginia,14619,25,"Berkeley, WV - Frederick, VA",433166,8.4,14.3,150.49,Medium,2022-09-01
Dinwiddie County,51053,Virginia,28544,77,"Petersburg City, VA - Prince George, VA",138353,3.3,18.1,592.07,High,2022-09-01
Fluvanna County,51065,Virginia,27270,99,"Albemarle, VA - Charlottesville City, VA",383641,4.0,13.0,212.69,High,2022-09-01
Franklin County,51067,Virginia,56042,14,"Roanoke City, VA - Roanoke, VA",592537,5.7,16.4,278.36,High,2022-09-01
Goochland County,51075,Virginia,23753,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,345.22,High,2022-09-01
Highland County,51091,Virginia,2190,97,"Augusta, VA - Staunton City, VA",161807,5.3,14.8,365.30,High,2022-09-01
James City County,51095,Virginia,76523,5,"Newport News City, VA - Hampton City, VA",531945,3.3,3.4,165.96,Low,2022-09-01
Lancaster County,51103,Virginia,10603,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,47.16,Medium,2022-09-01
Mecklenburg County,51117,Virginia,30587,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,7.5,23.5,130.77,High,2022-09-01
Middlesex County,51119,Virginia,10582,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,283.50,High,2022-09-01
New Kent County,51127,Virginia,23091,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,56.30,Medium,2022-09-01
Northampton County,51131,Virginia,11710,137,"Accomack, VA - Northampton, VA",44026,6.5,2.3,213.49,Medium,2022-09-01
Northumberland County,51133,Virginia,12095,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,157.09,Medium,2022-09-01
Orange County,51137,Virginia,37051,99,"Albemarle, VA - Charlottesville City, VA",383641,4.0,13.0,299.59,High,2022-09-01
Patrick County,51141,Virginia,17608,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,7.5,7.4,391.87,Medium,2022-09-01
Prince Edward County,51147,Virginia,22802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,473.64,High,2022-09-01
Rappahannock County,51157,Virginia,7370,99,"Albemarle, VA - Charlottesville City, VA",383641,4.0,13.0,366.35,High,2022-09-01
Shenandoah County,51171,Virginia,43616,25,"Berkeley, WV - Frederick, VA",433166,8.4,14.3,362.25,High,2022-09-01
Wise County,51195,Virginia,37383,55,"Wise, VA - Lee, VA",79105,0.0,17.7,465.45,High,2022-09-01
Buena Vista City,51530,Virginia,6478,97,"Augusta, VA - Staunton City, VA",161807,5.3,14.8,277.86,High,2022-09-01
Falls Church City,51610,Virginia,14617,69,"Fairfax, VA - Arlington, VA",1995976,4.0,4.5,157.35,Low,2022-09-01
Franklin City,51620,Virginia,7967,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,3.3,5.9,37.66,Low,2022-09-01
Galax City,51640,Virginia,6347,73,"Carroll, VA - Grayson, VA",62825,3.5,14.3,976.84,High,2022-09-01
Lynchburg City,51680,Virginia,82168,14,"Roanoke City, VA - Roanoke, VA",592537,5.7,16.4,299.39,High,2022-09-01
Newport News City,51700,Virginia,179225,5,"Newport News City, VA - Hampton City, VA",531945,3.3,3.4,180.22,Low,2022-09-01
Norton City,51720,Virginia,3981,55,"Wise, VA - Lee, VA",79105,0.0,17.7,502.39,High,2022-09-01
Poquoson City,51735,Virginia,12271,5,"Newport News City, VA - Hampton City, VA",531945,3.3,3.4,114.09,Low,2022-09-01
Richmond City,51760,Virginia,230436,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,198.75,Medium,2022-09-01
Amelia County,51007,Virginia,13145,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,372.77,High,2022-09-01
Amherst County,51009,Virginia,31605,14,"Roanoke City, VA - Roanoke, VA",592537,5.7,16.4,234.14,High,2022-09-01
Caroline County,51033,Virginia,30725,135,"Stafford, VA - Spotsylvania, VA",375694,7.7,9.8,270.14,Medium,2022-09-01
Cumberland County,51049,Virginia,9932,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,211.44,High,2022-09-01
Essex County,51057,Virginia,10953,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,109.56,Medium,2022-09-01
Gloucester County,51073,Virginia,37348,5,"Newport News City, VA - Hampton City, VA",531945,3.3,3.4,128.52,Low,2022-09-01
Halifax County,51083,Virginia,33911,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,7.5,23.5,206.42,High,2022-09-01
Hanover County,51085,Virginia,107766,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,107.64,Medium,2022-09-01
Henrico County,51087,Virginia,330818,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,137.84,Medium,2022-09-01
King William County,51101,Virginia,17148,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,239.09,High,2022-09-01
Lee County,51105,Virginia,23423,55,"Wise, VA - Lee, VA",79105,0.0,17.7,853.86,High,2022-09-01
Louisa County,51109,Virginia,37591,99,"Albemarle, VA - Charlottesville City, VA",383641,4.0,13.0,297.94,High,2022-09-01
Madison County,51113,Virginia,13261,99,"Albemarle, VA - Charlottesville City, VA",383641,4.0,13.0,180.98,Medium,2022-09-01
Nelson County,51125,Virginia,14930,99,"Albemarle, VA - Charlottesville City, VA",383641,4.0,13.0,154.05,Medium,2022-09-01
Pittsylvania County,51143,Virginia,60354,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,7.5,7.4,261.79,Medium,2022-09-01
Prince George County,51149,Virginia,38353,77,"Petersburg City, VA - Prince George, VA",138353,3.3,18.1,310.28,High,2022-09-01
Russell County,51167,Virginia,26586,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,7.7,22.8,684.57,High,2022-09-01
Smyth County,51173,Virginia,30104,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,7.7,22.8,674.33,High,2022-09-01
Spotsylvania County,51177,Virginia,136215,135,"Stafford, VA - Spotsylvania, VA",375694,7.7,9.8,258.42,Medium,2022-09-01
Surry County,51181,Virginia,6422,77,"Petersburg City, VA - Prince George, VA",138353,3.3,18.1,124.57,Medium,2022-09-01
Sussex County,51183,Virginia,11159,77,"Petersburg City, VA - Prince George, VA",138353,3.3,18.1,44.81,Medium,2022-09-01
Washington County,51191,Virginia,53740,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,7.7,22.8,327.50,High,2022-09-01
Alexandria City,51510,Virginia,159428,69,"Fairfax, VA - Arlington, VA",1995976,4.0,4.5,164.96,Low,2022-09-01
Bristol City,51520,Virginia,16762,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,7.7,22.8,417.61,High,2022-09-01
Colonial Heights City,51570,Virginia,17370,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,178.47,Medium,2022-09-01
Fairfax City,51600,Virginia,24019,69,"Fairfax, VA - Arlington, VA",1995976,4.0,4.5,49.96,Low,2022-09-01
Hampton City,51650,Virginia,134510,5,"Newport News City, VA - Hampton City, VA",531945,3.3,3.4,176.20,Low,2022-09-01
Manassas City,51683,Virginia,41085,109,"Prince William (Dale City), VA - Fauquier, VA",600120,3.6,3.3,250.70,Medium,2022-09-01
Petersburg City,51730,Virginia,31346,77,"Petersburg City, VA - Prince George, VA",138353,3.3,18.1,127.61,Medium,2022-09-01
Radford City,51750,Virginia,18249,70,"Montgomery, VA - Pulaski, VA",196215,7.2,12.2,526.06,High,2022-09-01
Salem City,51775,Virginia,25301,14,"Roanoke City, VA - Roanoke, VA",592537,5.7,16.4,142.29,Medium,2022-09-01
Suffolk City,51800,Virginia,92108,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,3.3,5.9,123.77,Low,2022-09-01
Williamsburg City,51830,Virginia,14954,5,"Newport News City, VA - Hampton City, VA",531945,3.3,3.4,120.37,Low,2022-09-01
Arlington County,51013,Virginia,236842,69,"Fairfax, VA - Arlington, VA",1995976,4.0,4.5,174.80,Low,2022-09-01
Bath County,51017,Virginia,4147,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,2.0,4.1,265.25,Medium,2022-09-01
Brunswick County,51025,Virginia,16231,130,"Brunswick, VA - Greensville, VA",32913,4.1,18.2,190.99,Medium,2022-09-01
Craig County,51045,Virginia,5131,14,"Roanoke City, VA - Roanoke, VA",592537,5.7,16.4,136.43,Medium,2022-09-01
Culpeper County,51047,Virginia,52605,99,"Albemarle, VA - Charlottesville City, VA",383641,4.0,13.0,142.57,Medium,2022-09-01
Fairfax County,51059,Virginia,1147532,69,"Fairfax, VA - Arlington, VA",1995976,4.0,4.5,132.55,Low,2022-09-01
Fauquier County,51061,Virginia,71222,109,"Prince William (Dale City), VA - Fauquier, VA",600120,3.6,3.3,155.85,Low,2022-09-01
Frederick County,51069,Virginia,89313,25,"Berkeley, WV - Frederick, VA",433166,8.4,14.3,258.64,High,2022-09-01
Grayson County,51077,Virginia,15550,73,"Carroll, VA - Grayson, VA",62825,3.5,14.3,655.95,High,2022-09-01
Greensville County,51081,Virginia,11336,130,"Brunswick, VA - Greensville, VA",32913,4.1,18.2,635.14,High,2022-09-01
Henry County,51089,Virginia,50557,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,7.5,7.4,510.32,Medium,2022-09-01
King and Queen County,51097,Virginia,7025,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,56.94,Medium,2022-09-01
Mathews County,51115,Virginia,8834,5,"Newport News City, VA - Hampton City, VA",531945,3.3,3.4,328.28,Medium,2022-09-01
Montgomery County,51121,Virginia,98535,70,"Montgomery, VA - Pulaski, VA",196215,7.2,12.2,296.34,High,2022-09-01
Nottoway County,51135,Virginia,15232,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,4.2,15.9,413.60,High,2022-09-01
Page County,51139,Virginia,23902,63,"Rockingham, VA - Harrisonburg City, VA",165835,5.2,7.8,221.74,Medium,2022-09-01
Prince William County,51153,Virginia,470335,109,"Prince William (Dale City), VA - Fauquier, VA",600120,3.6,3.3,183.91,Low,2022-09-01
Roanoke County,51161,Virginia,94186,14,"Roanoke City, VA - Roanoke, VA",592537,5.7,16.4,303.65,High,2022-09-01
Rockbridge County,51163,Virginia,22573,97,"Augusta, VA - Staunton City, VA",161807,5.3,14.8,239.22,High,2022-09-01
Tazewell County,51185,Virginia,40595,39,"Mercer, WV - Tazewell, VA",144261,7.8,25.0,1000.12,High,2022-09-01
York County,51199,Virginia,68280,5,"Newport News City, VA - Hampton City, VA",531945,3.3,3.4,140.60,Low,2022-09-01
Charlottesville City,51540,Virginia,47266,99,"Albemarle, VA - Charlottesville City, VA",383641,4.0,13.0,279.27,High,2022-09-01
Covington City,51580,Virginia,5538,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,2.0,4.1,397.26,Medium,2022-09-01
Emporia City,51595,Virginia,5346,130,"Brunswick, VA - Greensville, VA",32913,4.1,18.2,168.35,Medium,2022-09-01
Harrisonburg City,51660,Virginia,53016,63,"Rockingham, VA - Harrisonburg City, VA",165835,5.2,7.8,326.32,Medium,2022-09-01
Hopewell City,51670,Virginia,22529,77,"Petersburg City, VA - Prince George, VA",138353,3.3,18.1,168.67,Medium,2022-09-01
Manassas Park City,51685,Virginia,17478,109,"Prince William (Dale City), VA - Fauquier, VA",600120,3.6,3.3,240.30,Medium,2022-09-01
Norfolk City,51710,Virginia,242742,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,3.3,5.9,100.11,Low,2022-09-01
Portsmouth City,51740,Virginia,94398,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,3.3,5.9,108.05,Low,2022-09-01
Staunton City,51790,Virginia,24932,97,"Augusta, VA - Staunton City, VA",161807,5.3,14.8,389.06,High,2022-09-01
Virginia Beach City,51810,Virginia,449974,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,3.3,5.9,102.23,Low,2022-09-01
Waynesboro City,51820,Virginia,22630,97,"Augusta, VA - Staunton City, VA",161807,5.3,14.8,790.99,High,2022-09-01
Winchester City,51840,Virginia,28078,25,"Berkeley, WV - Frederick, VA",433166,8.4,14.3,327.66,High,2022-09-01
Brunswick County,51025,Virginia,16231,130,"Brunswick, VA - Greensville, VA",32913,1.7,6.1,80.09,Low,2022-09-08
Craig County,51045,Virginia,5131,14,"Roanoke City, VA - Roanoke, VA",592537,6.4,16.0,58.47,Medium,2022-09-08
Culpeper County,51047,Virginia,52605,99,"Albemarle, VA - Charlottesville City, VA",383641,4.3,12.3,287.04,High,2022-09-08
Fairfax County,51059,Virginia,1147532,69,"Fairfax, VA - Arlington, VA",1995976,3.8,6.8,119.39,Low,2022-09-08
Fauquier County,51061,Virginia,71222,109,"Prince William (Dale City), VA - Fauquier, VA",600120,3.7,4.5,127.77,Low,2022-09-08
Frederick County,51069,Virginia,89313,25,"Berkeley, WV - Frederick, VA",433166,8.3,12.5,173.55,Medium,2022-09-08
Grayson County,51077,Virginia,15550,73,"Carroll, VA - Grayson, VA",62825,6.1,14.3,450.16,High,2022-09-08
Greensville County,51081,Virginia,11336,130,"Brunswick, VA - Greensville, VA",32913,1.7,6.1,88.21,Low,2022-09-08
Henry County,51089,Virginia,50557,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,5.6,5.4,235.38,Medium,2022-09-08
King and Queen County,51097,Virginia,7025,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,85.41,Medium,2022-09-08
Mathews County,51115,Virginia,8834,5,"Newport News City, VA - Hampton City, VA",531945,2.8,2.6,124.52,Low,2022-09-08
Montgomery County,51121,Virginia,98535,70,"Montgomery, VA - Pulaski, VA",196215,5.9,11.2,274.01,High,2022-09-08
Nottoway County,51135,Virginia,15232,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,446.43,High,2022-09-08
Page County,51139,Virginia,23902,63,"Rockingham, VA - Harrisonburg City, VA",165835,6.9,24.1,267.76,High,2022-09-08
Prince William County,51153,Virginia,470335,109,"Prince William (Dale City), VA - Fauquier, VA",600120,3.7,4.5,179.45,Low,2022-09-08
Roanoke County,51161,Virginia,94186,14,"Roanoke City, VA - Roanoke, VA",592537,6.4,16.0,222.96,High,2022-09-08
Rockbridge County,51163,Virginia,22573,97,"Augusta, VA - Staunton City, VA",161807,5.1,11.7,234.79,High,2022-09-08
Tazewell County,51185,Virginia,40595,39,"Mercer, WV - Tazewell, VA",144261,7.1,16.6,743.93,High,2022-09-08
York County,51199,Virginia,68280,5,"Newport News City, VA - Hampton City, VA",531945,2.8,2.6,96.66,Low,2022-09-08
Charlottesville City,51540,Virginia,47266,99,"Albemarle, VA - Charlottesville City, VA",383641,4.3,12.3,275.04,High,2022-09-08
Covington City,51580,Virginia,5538,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,1.4,9.7,306.97,Medium,2022-09-08
Emporia City,51595,Virginia,5346,130,"Brunswick, VA - Greensville, VA",32913,1.7,6.1,56.12,Low,2022-09-08
Harrisonburg City,51660,Virginia,53016,63,"Rockingham, VA - Harrisonburg City, VA",165835,6.9,24.1,301.80,High,2022-09-08
Hopewell City,51670,Virginia,22529,77,"Petersburg City, VA - Prince George, VA",138353,3.8,18.8,208.62,High,2022-09-08
Manassas Park City,51685,Virginia,17478,109,"Prince William (Dale City), VA - Fauquier, VA",600120,3.7,4.5,217.42,Medium,2022-09-08
Norfolk City,51710,Virginia,242742,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,3.3,7.0,87.75,Low,2022-09-08
Portsmouth City,51740,Virginia,94398,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,3.3,7.0,95.34,Low,2022-09-08
Staunton City,51790,Virginia,24932,97,"Augusta, VA - Staunton City, VA",161807,5.1,11.7,272.74,High,2022-09-08
Virginia Beach City,51810,Virginia,449974,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,3.3,7.0,84.45,Low,2022-09-08
Waynesboro City,51820,Virginia,22630,97,"Augusta, VA - Staunton City, VA",161807,5.1,11.7,1095.89,High,2022-09-08
Winchester City,51840,Virginia,28078,25,"Berkeley, WV - Frederick, VA",433166,8.3,12.5,203.01,High,2022-09-08
Accomack County,51001,Virginia,32316,137,"Accomack, VA - Northampton, VA",44026,0.0,2.3,102.12,Low,2022-09-08
Bland County,51021,Virginia,6280,39,"Mercer, WV - Tazewell, VA",144261,7.1,16.6,238.85,High,2022-09-08
Buckingham County,51029,Virginia,17148,99,"Albemarle, VA - Charlottesville City, VA",383641,4.3,12.3,134.13,Medium,2022-09-08
Carroll County,51035,Virginia,29791,73,"Carroll, VA - Grayson, VA",62825,6.1,14.3,328.96,High,2022-09-08
Charlotte County,51037,Virginia,11880,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,420.88,High,2022-09-08
Chesterfield County,51041,Virginia,352802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,169.22,Medium,2022-09-08
Clarke County,51043,Virginia,14619,25,"Berkeley, WV - Frederick, VA",433166,8.3,12.5,61.56,Medium,2022-09-08
Dinwiddie County,51053,Virginia,28544,77,"Petersburg City, VA - Prince George, VA",138353,3.8,18.8,262.75,High,2022-09-08
Fluvanna County,51065,Virginia,27270,99,"Albemarle, VA - Charlottesville City, VA",383641,4.3,12.3,161.35,Medium,2022-09-08
Franklin County,51067,Virginia,56042,14,"Roanoke City, VA - Roanoke, VA",592537,6.4,16.0,176.65,Medium,2022-09-08
Goochland County,51075,Virginia,23753,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,227.34,High,2022-09-08
Highland County,51091,Virginia,2190,97,"Augusta, VA - Staunton City, VA",161807,5.1,11.7,136.99,Medium,2022-09-08
James City County,51095,Virginia,76523,5,"Newport News City, VA - Hampton City, VA",531945,2.8,2.6,186.87,Low,2022-09-08
Lancaster County,51103,Virginia,10603,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,141.47,Medium,2022-09-08
Mecklenburg County,51117,Virginia,30587,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,5.3,14.3,68.66,Medium,2022-09-08
Middlesex County,51119,Virginia,10582,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,122.85,Medium,2022-09-08
New Kent County,51127,Virginia,23091,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,38.98,Medium,2022-09-08
Northampton County,51131,Virginia,11710,137,"Accomack, VA - Northampton, VA",44026,0.0,2.3,111.02,Low,2022-09-08
Northumberland County,51133,Virginia,12095,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,74.41,Medium,2022-09-08
Orange County,51137,Virginia,37051,99,"Albemarle, VA - Charlottesville City, VA",383641,4.3,12.3,315.78,High,2022-09-08
Patrick County,51141,Virginia,17608,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,5.6,5.4,176.06,Low,2022-09-08
Prince Edward County,51147,Virginia,22802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,324.53,High,2022-09-08
Rappahannock County,51157,Virginia,7370,99,"Albemarle, VA - Charlottesville City, VA",383641,4.3,12.3,149.25,Medium,2022-09-08
Shenandoah County,51171,Virginia,43616,25,"Berkeley, WV - Frederick, VA",433166,8.3,12.5,201.76,High,2022-09-08
Wise County,51195,Virginia,37383,55,"Wise, VA - Lee, VA",79105,0.0,11.4,334.38,High,2022-09-08
Buena Vista City,51530,Virginia,6478,97,"Augusta, VA - Staunton City, VA",161807,5.1,11.7,339.61,High,2022-09-08
Falls Church City,51610,Virginia,14617,69,"Fairfax, VA - Arlington, VA",1995976,3.8,6.8,164.19,Low,2022-09-08
Franklin City,51620,Virginia,7967,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,3.3,7.0,100.41,Low,2022-09-08
Galax City,51640,Virginia,6347,73,"Carroll, VA - Grayson, VA",62825,6.1,14.3,976.84,High,2022-09-08
Lynchburg City,51680,Virginia,82168,14,"Roanoke City, VA - Roanoke, VA",592537,6.4,16.0,268.96,High,2022-09-08
Newport News City,51700,Virginia,179225,5,"Newport News City, VA - Hampton City, VA",531945,2.8,2.6,127.77,Low,2022-09-08
Norton City,51720,Virginia,3981,55,"Wise, VA - Lee, VA",79105,0.0,11.4,376.79,High,2022-09-08
Poquoson City,51735,Virginia,12271,5,"Newport News City, VA - Hampton City, VA",531945,2.8,2.6,40.75,Low,2022-09-08
Richmond City,51760,Virginia,230436,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,193.55,Medium,2022-09-08
Arlington County,51013,Virginia,236842,69,"Fairfax, VA - Arlington, VA",1995976,3.8,6.8,163.82,Low,2022-09-08
Bath County,51017,Virginia,4147,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,1.4,9.7,313.48,Medium,2022-09-08
Roanoke City,51770,Virginia,99143,14,"Roanoke City, VA - Roanoke, VA",592537,6.4,16.0,212.82,High,2022-09-08
Amelia County,51007,Virginia,13145,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,190.19,Medium,2022-09-08
Amherst County,51009,Virginia,31605,14,"Roanoke City, VA - Roanoke, VA",592537,6.4,16.0,120.23,Medium,2022-09-08
Caroline County,51033,Virginia,30725,135,"Stafford, VA - Spotsylvania, VA",375694,7.7,10.4,247.36,High,2022-09-08
Cumberland County,51049,Virginia,9932,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,110.75,Medium,2022-09-08
Essex County,51057,Virginia,10953,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,209.99,High,2022-09-08
Gloucester County,51073,Virginia,37348,5,"Newport News City, VA - Hampton City, VA",531945,2.8,2.6,152.62,Low,2022-09-08
Halifax County,51083,Virginia,33911,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,5.3,14.3,162.19,Medium,2022-09-08
Hanover County,51085,Virginia,107766,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,77.02,Medium,2022-09-08
Henrico County,51087,Virginia,330818,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,102.78,Medium,2022-09-08
King William County,51101,Virginia,17148,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,239.09,High,2022-09-08
Lee County,51105,Virginia,23423,55,"Wise, VA - Lee, VA",79105,0.0,11.4,469.62,High,2022-09-08
Louisa County,51109,Virginia,37591,99,"Albemarle, VA - Charlottesville City, VA",383641,4.3,12.3,180.89,Medium,2022-09-08
Madison County,51113,Virginia,13261,99,"Albemarle, VA - Charlottesville City, VA",383641,4.3,12.3,211.15,High,2022-09-08
Nelson County,51125,Virginia,14930,99,"Albemarle, VA - Charlottesville City, VA",383641,4.3,12.3,133.96,Medium,2022-09-08
Pittsylvania County,51143,Virginia,60354,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,5.6,5.4,258.47,Medium,2022-09-08
Prince George County,51149,Virginia,38353,77,"Petersburg City, VA - Prince George, VA",138353,3.8,18.8,101.69,Medium,2022-09-08
Russell County,51167,Virginia,26586,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,6.9,16.8,492.74,High,2022-09-08
Smyth County,51173,Virginia,30104,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,6.9,16.8,365.40,High,2022-09-08
Spotsylvania County,51177,Virginia,136215,135,"Stafford, VA - Spotsylvania, VA",375694,7.7,10.4,163.71,Medium,2022-09-08
Surry County,51181,Virginia,6422,77,"Petersburg City, VA - Prince George, VA",138353,3.8,18.8,155.71,Medium,2022-09-08
Sussex County,51183,Virginia,11159,77,"Petersburg City, VA - Prince George, VA",138353,3.8,18.8,80.65,Medium,2022-09-08
Washington County,51191,Virginia,53740,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,6.9,16.8,240.04,High,2022-09-08
Alexandria City,51510,Virginia,159428,69,"Fairfax, VA - Arlington, VA",1995976,3.8,6.8,159.95,Low,2022-09-08
Bristol City,51520,Virginia,16762,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,6.9,16.8,340.05,High,2022-09-08
Colonial Heights City,51570,Virginia,17370,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.8,12.2,259.07,High,2022-09-08
Fairfax City,51600,Virginia,24019,69,"Fairfax, VA - Arlington, VA",1995976,3.8,6.8,70.78,Low,2022-09-08
Hampton City,51650,Virginia,134510,5,"Newport News City, VA - Hampton City, VA",531945,2.8,2.6,144.23,Low,2022-09-08
Manassas City,51683,Virginia,41085,109,"Prince William (Dale City), VA - Fauquier, VA",600120,3.7,4.5,153.34,Low,2022-09-08
Petersburg City,51730,Virginia,31346,77,"Petersburg City, VA - Prince George, VA",138353,3.8,18.8,105.28,Medium,2022-09-08
Radford City,51750,Virginia,18249,70,"Montgomery, VA - Pulaski, VA",196215,5.9,11.2,460.30,High,2022-09-08
Salem City,51775,Virginia,25301,14,"Roanoke City, VA - Roanoke, VA",592537,6.4,16.0,205.53,High,2022-09-08
